Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260203115811.134,269.8188,,,30,31,0,1,25.7993
20260203115811.135,269.8299,,,30,31,0,1,25.7993
20260203115811.137,269.8410,,,30,31,0,1,25.7993
20260203115811.138,269.8521,,,30,31,0,1,25.7993
20260203115811.141,269.8632,,,30,31,0,1,25.7993
20260203115811.143,269.8743,,,30,31,0,1,25.7993
20260203115811.144,269.8854,,,30,31,0,1,25.7993
20260203115811.145,269.8965,,,30,31,0,1,25.7993
20260203115811.148,269.9076,,,30,31,0,1,25.7993
20260203115811.149,269.9187,,,30,31,0,1,25.7993
20260203115811.151,269.9298,,,30,31,0,1,25.7993
20260203115811.152,269.9409,,,30,31,0,1,25.7993
20260203115811.154,269.9520,,,30,31,0,1,25.7993
20260203115811.155,269.9631,,,30,31,0,1,25.7993
20260203115811.157,269.9742,,,30,31,0,1,25.7993
20260203115811.159,269.9853,,,30,31,0,1,25.7993
20260203115811.161,269.9964,,,30,31,0,1,25.7993
20260203115811.163,270.0075,,,30,31,0,1,25.7993
20260203115811.164,270.0186,,,30,31,0,1,25.7993
20260203115811.165,270.0297,,,30,31,0,1,25.7993
20260203115811.168,270.0408,,,30,31,0,1,25.7993
20260203115811.169,270.0519,,,30,31,0,1,25.7993
20260203115811.171,270.0630,,,30,31,0,1,25.7993
20260203115811.173,270.0741,,,30,31,0,1,25.7993
20260203115811.174,270.0852,,,30,31,0,1,25.7993
20260203115811.175,270.0963,,,30,31,0,1,25.7993
20260203115811.177,270.1074,,,30,31,0,1,25.7993
20260203115811.179,270.1185,,,30,31,0,1,25.7993
20260203115811.180,270.1296,,,30,31,0,1,25.7993
20260203115811.182,270.1407,,,30,31,0,1,25.7993
20260203115811.184,270.1518,,,30,31,0,1,25.7993
20260203115811.186,270.1629,,,30,31,0,1,25.7993
20260203115811.190,270.1740,,,30,31,0,1,25.7993
20260203115811.208,270.1851,,,30,31,0,1,25.7993
20260203115811.210,270.1962,,,30,31,0,1,25.7993
20260203115811.212,270.2073,,,30,31,0,1,25.7993
20260203115811.213,270.2184,,,30,31,0,1,25.7993
20260203115811.215,270.2295,,,30,31,0,1,25.7993
20260203115811.217,270.2406,,,30,31,0,1,25.7993
20260203115811.218,270.2517,,,30,31,0,1,25.7993
20260203115811.219,270.2628,,,30,31,0,1,25.7993
20260203115811.222,270.2739,,,30,31,0,1,25.7993
20260203115811.224,270.2850,,,30,31,0,1,25.7993
20260203115811.226,270.2961,,,30,31,0,1,25.7993
20260203115811.227,270.3072,,,30,31,0,1,25.7993
20260203115811.228,270.3183,,,30,31,0,1,25.7993
20260203115811.230,270.3294,,,30,31,0,1,25.7993
20260203115811.232,270.3405,,,30,31,0,1,25.7993
20260203115811.234,270.3516,,,30,31,0,1,25.7993
20260203115811.236,270.3627,,,30,31,0,1,25.7993
20260203115811.237,270.3738,,,30,31,0,1,25.7993
20260203115811.239,270.3849,,,30,31,0,1,25.7993
20260203115811.241,270.3960,,,30,31,0,1,25.7993
20260203115811.243,270.4071,,,30,31,0,1,25.7993
20260203115811.245,270.4182,,,30,31,0,1,25.7993
20260203115811.246,270.4293,,,30,31,0,1,25.7993
20260203115811.247,270.4404,,,30,31,0,1,25.7993
20260203115811.249,270.4515,,,30,31,0,1,25.7993
20260203115811.251,270.4626,,,30,31,0,1,25.7993
20260203115811.252,270.4737,,,30,31,0,1,25.7993
20260203115811.254,270.4848,,,30,31,0,1,25.7993
20260203115811.255,270.4959,,,30,31,0,1,25.7993
20260203115811.258,270.5070,,,30,31,0,1,25.7993
20260203115811.259,270.5181,,,30,31,0,1,25.7993
20260203115811.261,270.5292,,,30,31,0,1,25.7993
20260203115811.263,270.5403,,,30,31,0,1,25.7993
20260203115811.265,270.5514,,,30,31,0,1,25.7993
20260203115811.266,270.5625,,,30,31,0,1,25.7993
20260203115811.267,270.5736,,,30,31,0,1,25.7993
20260203115811.270,270.5847,,,30,31,0,1,25.7993
20260203115811.271,270.5958,,,30,31,0,1,25.7993
20260203115811.273,270.6069,,,30,31,0,1,25.7993
20260203115811.277,270.6180,,,30,31,0,1,25.7993
20260203115811.279,270.6291,,,30,31,0,1,25.7993
20260203115811.281,270.6402,,,30,31,0,1,25.7993
20260203115811.285,270.6513,,,30,31,0,1,25.7993
20260203115811.292,270.6624,,,30,31,0,1,25.7993
20260203115811.294,270.6735,,,30,31,0,1,25.7993
20260203115811.296,270.6846,,,30,31,0,1,25.7993
20260203115811.297,270.6957,,,30,31,0,1,25.7993
20260203115811.300,270.7068,,,30,31,0,1,25.7993
20260203115811.301,270.7179,,,30,31,0,1,25.7993
20260203115811.303,270.7290,,,30,31,0,1,25.7993
20260203115811.315,270.7401,,,30,31,0,1,25.7993
20260203115811.316,270.7512,,,30,31,0,1,25.7993
20260203115811.318,270.7623,,,30,31,0,1,25.7993
20260203115811.319,270.7734,,,30,31,0,1,25.7993
20260203115811.321,270.7845,,,30,31,0,1,25.7993
20260203115811.323,270.7956,,,30,31,0,1,25.7993
20260203115811.324,270.8067,,,30,31,0,1,25.7993
20260203115811.326,270.8178,,,30,31,0,1,25.7993
20260203115811.329,270.8289,,,30,31,0,1,25.7993
20260203115811.330,270.8400,,,30,31,0,1,25.7993
20260203115811.332,270.8511,,,30,31,0,1,25.7993
20260203115811.334,270.8622,,,30,31,0,1,25.7993
20260203115811.336,270.8733,,,30,31,0,1,25.7993
20260203115811.337,270.8844,,,30,31,0,1,25.7993
20260203115811.338,270.8955,,,30,31,0,1,25.7993
20260203115811.340,270.9066,,,30,31,0,1,25.7993
20260203115811.342,270.9177,,,30,31,0,1,25.7993
20260203115811.344,270.9288,,,30,31,0,1,25.7993
20260203115811.345,270.9399,,,30,31,0,1,25.7993
20260203115811.347,270.9510,,,30,31,0,1,25.7993
20260203115811.349,270.9621,,,30,31,0,1,25.7993
20260203115811.351,270.9732,,,30,31,0,1,25.7993
20260203115811.352,270.9843,,,30,31,0,1,25.7993
20260203115811.354,270.9954,,,30,31,0,1,25.7993
20260203115811.356,271.0065,,,30,31,0,1,25.7993
20260203115811.357,271.0176,,,30,31,0,1,25.7993
20260203115811.359,271.0287,,,30,31,0,1,25.7993
20260203115811.360,271.0398,,,30,31,0,1,25.7993
20260203115811.362,271.0509,,,30,31,0,1,25.7993
20260203115811.364,271.0620,,,30,31,0,1,25.7993
20260203115811.365,271.0731,,,30,31,0,1,25.7993
20260203115811.368,271.0842,,,30,31,0,1,25.7993
20260203115811.369,271.0953,,,30,31,0,1,25.7993
20260203115811.374,271.1064,,,30,31,0,1,25.7993
20260203115811.376,271.1175,,,30,31,0,1,25.7993
20260203115811.378,271.1286,,,30,31,0,1,25.7993
20260203115811.381,271.1397,,,30,31,0,1,25.7993
20260203115811.387,271.1508,,,30,31,0,1,25.7993
20260203115811.389,271.1619,,,30,31,0,1,25.7993
20260203115811.390,271.1730,,,30,31,0,1,25.7993
20260203115811.392,271.1841,,,30,31,0,1,25.7993
20260203115811.394,271.1952,,,30,31,0,1,25.7993
20260203115811.395,271.2063,,,30,31,0,1,25.7993
20260203115811.397,271.2174,,,30,31,0,1,25.7993
20260203115811.399,271.2285,,,30,31,0,1,25.7993
20260203115811.400,271.2396,,,30,31,0,1,25.7993
20260203115811.402,271.2507,,,30,31,0,1,25.7993
20260203115811.404,271.2618,,,30,31,0,1,25.7993
20260203115811.405,271.2729,,,30,31,0,1,25.7993
20260203115811.408,271.2840,,,30,31,0,1,25.7993
20260203115811.419,271.2951,,,30,31,0,1,25.7993
20260203115811.421,271.3062,,,30,31,0,1,25.7993
20260203115811.422,271.3173,,,30,31,0,1,25.7993
20260203115811.424,271.3284,,,30,31,0,1,25.7993
20260203115811.427,271.3395,,,30,31,0,1,25.7993
20260203115811.428,271.3506,,,30,31,0,1,25.7993
20260203115811.430,271.3617,,,30,31,0,1,25.7993
20260203115811.432,271.3728,,,30,31,0,1,25.7993
20260203115811.433,271.3839,,,30,31,0,1,25.7993
20260203115811.435,271.3950,,,30,31,0,1,25.7993
20260203115811.437,271.4061,,,30,31,0,1,25.7993
20260203115811.438,271.4172,,,30,31,0,1,25.7993
20260203115811.440,271.4283,,,30,31,0,1,25.7993
20260203115811.441,271.4394,,,30,31,0,1,25.7993
20260203115811.443,271.4505,,,30,31,0,1,25.7993
20260203115811.445,271.4616,,,30,31,0,1,25.7993
20260203115811.447,271.4727,,,30,31,0,1,25.7993
20260203115811.448,271.4838,,,30,31,0,1,25.7993
20260203115811.450,271.4949,,,30,31,0,1,25.7993
20260203115811.452,271.5060,,,30,31,0,1,25.7993
20260203115811.453,271.5171,,,30,31,0,1,25.7993
20260203115811.455,271.5282,,,30,31,0,1,25.7993
20260203115811.457,271.5393,,,30,31,0,1,25.7993
20260203115811.459,271.5504,,,30,31,0,1,25.7993
20260203115811.460,271.5615,,,30,31,0,1,25.7993
20260203115811.462,271.5726,,,30,31,0,1,25.7993
20260203115811.467,271.5837,,,30,31,0,1,25.7993
20260203115811.468,271.5948,,,30,31,0,1,25.7993
20260203115811.470,271.6059,,,30,31,0,1,25.7993
20260203115811.472,271.6170,,,30,31,0,1,25.7993
20260203115811.475,271.6281,,,30,31,0,1,25.7993
20260203115811.481,271.6392,,,30,31,0,1,25.7993
20260203115811.482,271.6503,,,30,31,0,1,25.7993
20260203115811.484,271.6614,,,30,31,0,1,25.7993
20260203115811.485,271.6725,,,30,31,0,1,25.7993
20260203115811.488,271.6836,,,30,31,0,1,25.7993
20260203115811.489,271.6947,,,30,31,0,1,25.7993
20260203115811.491,271.7058,,,30,31,0,1,25.7993
20260203115811.493,271.7169,,,30,31,0,1,25.7993
20260203115811.494,271.7280,,,30,31,0,1,25.7993
20260203115811.496,271.7391,,,30,31,0,1,25.7993
20260203115811.498,271.7502,,,30,31,0,1,25.7993
20260203115811.500,271.7613,,,30,31,0,1,25.7993
20260203115811.501,271.7724,,,30,31,0,1,25.7993
20260203115811.503,271.7835,,,30,31,0,1,25.7993
20260203115811.505,271.7946,,,30,31,0,1,25.7993
20260203115811.507,271.8057,,,30,31,0,1,25.7993
20260203115811.508,271.8168,,,30,31,0,1,25.7993
20260203115811.510,271.8279,,,30,31,0,1,25.7993
20260203115811.512,271.8390,,,30,31,0,1,25.7993
20260203115811.523,271.8501,,,30,31,0,1,25.7993
20260203115811.525,271.8612,,,30,31,0,1,25.7993
20260203115811.527,271.8723,,,30,31,0,1,25.7993
20260203115811.529,271.8834,,,30,31,0,1,25.7993
20260203115811.531,271.8945,,,30,31,0,1,25.7993
20260203115811.533,271.9056,,,30,31,0,1,25.7993
20260203115811.534,271.9167,,,30,31,0,1,25.7993
20260203115811.536,271.9278,,,30,31,0,1,25.7993
20260203115811.538,271.9389,,,30,31,0,1,25.7993
20260203115811.539,271.9500,,,30,31,0,1,25.7993
20260203115811.541,271.9611,,,30,31,0,1,25.7993
20260203115811.543,271.9722,,,30,31,0,1,25.7993
20260203115811.544,271.9833,,,30,31,0,1,25.7993
20260203115811.546,271.9944,,,30,31,0,1,25.7993
20260203115811.547,272.0055,,,30,31,0,1,25.7993
20260203115811.549,272.0166,,,30,31,0,1,25.7993
20260203115811.551,272.0277,,,30,31,0,1,25.7993
20260203115811.552,272.0388,,,30,31,0,1,25.7993
20260203115811.554,272.0499,,,30,31,0,1,25.7993
20260203115811.555,272.0610,,,30,31,0,1,25.7993
20260203115811.558,272.0721,,,30,31,0,1,25.7993
20260203115811.562,272.0832,,,30,31,0,1,25.7993
20260203115811.564,272.0943,,,30,31,0,1,25.7993
20260203115811.566,272.1054,,,30,31,0,1,25.7993
20260203115811.568,272.1165,,,30,31,0,1,25.7993
20260203115811.575,272.1276,,,30,31,0,1,25.7993
20260203115811.577,272.1387,,,30,31,0,1,25.7993
20260203115811.578,272.1498,,,30,31,0,1,25.7993
20260203115811.580,272.1609,,,30,31,0,1,25.7993
20260203115811.581,272.1720,,,30,31,0,1,25.7993
20260203115811.583,272.1831,,,30,31,0,1,25.7993
20260203115811.585,272.1942,,,30,31,0,1,25.7993
20260203115811.587,272.2053,,,30,31,0,1,25.7993
20260203115811.589,272.2164,,,30,31,0,1,25.7993
20260203115811.590,272.2275,,,30,31,0,1,25.7993
20260203115811.592,272.2386,,,30,31,0,1,25.7993
20260203115811.594,272.2497,,,30,31,0,1,25.7993
20260203115811.595,272.2608,,,30,31,0,1,25.7993
20260203115811.598,272.2719,,,30,31,0,1,25.7993
20260203115811.599,272.2830,,,30,31,0,1,25.7993
20260203115811.601,272.2941,,,30,31,0,1,25.7993
20260203115811.602,272.3052,,,30,31,0,1,25.7993
20260203115811.604,272.3163,,,30,31,0,1,25.7993
20260203115811.606,272.3274,,,30,31,0,1,25.7993
20260203115811.608,272.3385,,,30,31,0,1,25.7993
20260203115811.609,272.3496,,,30,31,0,1,25.7993
20260203115811.611,272.3607,,,30,31,0,1,25.7993
20260203115811.613,272.3718,,,30,31,0,1,25.7993
20260203115811.614,272.3829,,,30,31,0,1,25.7993
20260203115811.615,272.3940,,,30,31,0,1,25.7993
20260203115811.627,272.4051,,,30,31,0,1,25.7993
20260203115811.629,272.4162,,,30,31,0,1,25.7993
20260203115811.631,272.4273,,,30,31,0,1,25.7993
20260203115811.632,272.4384,,,30,31,0,1,25.7993
20260203115811.634,272.4495,,,30,31,0,1,25.7993
20260203115811.635,272.4606,,,30,31,0,1,25.7993
20260203115811.637,272.4717,,,30,31,0,1,25.7993
20260203115811.639,272.4828,,,30,31,0,1,25.7993
20260203115811.640,272.4939,,,30,31,0,1,25.7993
20260203115811.642,272.5050,,,30,31,0,1,25.7993
20260203115811.644,272.5161,,,30,31,0,1,25.7993
20260203115811.645,272.5272,,,30,31,0,1,25.7993
20260203115811.647,272.5383,,,30,31,0,1,25.7993
20260203115811.649,272.5494,,,30,31,0,1,25.7993
20260203115811.651,272.5605,,,30,31,0,1,25.7993
20260203115811.655,272.5716,,,30,31,0,1,25.7993
20260203115811.657,272.5827,,,30,31,0,1,25.7993
20260203115811.659,272.5938,,,30,31,0,1,25.7993
20260203115811.660,272.6049,,,30,31,0,1,25.7993
20260203115811.663,272.6160,,,30,31,0,1,25.7993
20260203115811.670,272.6271,,,30,31,0,1,25.7993
20260203115811.672,272.6382,,,30,31,0,1,25.7993
