frame,time,userId,cellBoundaryRisk,physicalBoundaryRisk,userRisk,seedMotionPenalty,cellShapePenaltyReserved,smoothRisk,weightedTotalRisk,dominantRisk,minCellClearance,minPhysicalClearance,minPairSeparation,minOccupancySeparation,seedDelta,frameMeanCellRisk,frameMeanPhysicalRisk,frameMeanUserRisk,frameMeanSmoothRisk,frameWeightedTotalRisk
250,2.775008,0,0.000000,0.000000,0.000000,0.040281,0.000000,0.040281,0.008056,None,3.119412,6.504389,8.585710,8.585710,0.010070,0.250000,0.250000,0.000000,0.043287,0.108657
250,2.775008,1,0.000000,0.000000,0.000000,0.044010,0.000000,0.044010,0.008802,None,0.675912,0.675912,8.995628,8.995628,0.011003,0.250000,0.250000,0.000000,0.043287,0.108657
250,2.775008,2,1.000000,1.000000,0.000000,0.044446,0.000000,0.044446,0.408889,Wall,-0.270131,-0.270131,8.585710,8.585710,0.011111,0.250000,0.250000,0.000000,0.043287,0.108657
250,2.775008,3,0.000000,0.000000,0.000000,0.044411,0.000000,0.044411,0.008882,None,1.428061,1.428061,9.597655,9.597655,0.011103,0.250000,0.250000,0.000000,0.043287,0.108657
260,2.886009,0,0.000000,0.000000,0.000000,0.043117,0.000000,0.043117,0.008623,None,3.146345,6.609297,8.763048,8.763048,0.010779,0.250000,0.250000,0.000000,0.044051,0.108810
260,2.886009,1,0.000000,0.000000,0.000000,0.044227,0.000000,0.044227,0.008845,None,0.598779,0.598779,9.033874,9.033874,0.011057,0.250000,0.250000,0.000000,0.044051,0.108810
260,2.886009,2,1.000000,1.000000,0.000000,0.044445,0.000000,0.044445,0.408889,Wall,-0.233733,-0.233733,8.763048,8.763048,0.011111,0.250000,0.250000,0.000000,0.044051,0.108810
260,2.886009,3,0.000000,0.000000,0.000000,0.044413,0.000000,0.044413,0.008883,None,1.461480,1.461480,9.498161,9.498161,0.011103,0.250000,0.250000,0.000000,0.044051,0.108810
270,2.997009,0,0.000000,0.000000,0.000000,0.043994,0.000000,0.043994,0.008799,None,3.185792,6.715689,8.913712,8.913712,0.010999,0.250000,0.250000,0.000000,0.036814,0.107363
270,2.997009,1,0.000000,0.000000,0.000000,0.044295,0.000000,0.044295,0.008859,None,0.523264,0.523264,9.082620,9.082620,0.011074,0.250000,0.250000,0.000000,0.036814,0.107363
270,2.997009,2,1.000000,1.000000,0.000000,0.031227,0.000000,0.031227,0.406246,Wall,-0.206286,-0.206286,8.913712,8.913712,0.007807,0.250000,0.250000,0.000000,0.036814,0.107363
270,2.997009,3,0.000000,0.000000,0.000000,0.027738,0.000000,0.027738,0.005548,None,1.482891,1.482891,9.392324,9.392324,0.006935,0.250000,0.250000,0.000000,0.036814,0.107363
280,3.108010,0,0.000000,0.000000,0.000000,0.044266,0.000000,0.044266,0.008853,None,3.232135,6.823129,9.010067,9.010067,0.011067,0.250000,0.275079,0.000000,0.026690,0.105338
280,3.108010,1,0.000000,0.100317,0.000000,0.044314,0.000000,0.044314,0.008863,None,0.449842,0.449842,9.137459,9.137459,0.011079,0.250000,0.275079,0.000000,0.026690,0.105338
280,3.108010,2,1.000000,1.000000,0.000000,0.009628,0.000000,0.009628,0.401926,Wall,-0.206286,-0.206286,9.010067,9.010067,0.002407,0.250000,0.275079,0.000000,0.026690,0.105338
280,3.108010,3,0.000000,0.000000,0.000000,0.008552,0.000000,0.008552,0.001710,None,1.482891,1.482891,9.284485,9.284485,0.002138,0.250000,0.275079,0.000000,0.026690,0.105338
290,3.219010,0,0.000000,0.000000,0.000000,0.044348,0.000000,0.044348,0.008870,None,3.279437,6.931005,9.105843,9.105843,0.011087,0.250000,0.310525,0.000000,0.023567,0.104713
290,3.219010,1,0.000000,0.242100,0.000000,0.044316,0.000000,0.044316,0.008863,None,0.378950,0.378950,9.192138,9.192138,0.011079,0.250000,0.310525,0.000000,0.023567,0.104713
290,3.219010,2,1.000000,1.000000,0.000000,0.002969,0.000000,0.002969,0.400594,Wall,-0.206286,-0.206286,9.105843,9.105843,0.000742,0.250000,0.310525,0.000000,0.023567,0.104713
290,3.219010,3,0.000000,0.000000,0.000000,0.002637,0.000000,0.002637,0.000527,None,1.482891,1.482891,9.176372,9.176372,0.000659,0.250000,0.310525,0.000000,0.023567,0.104713
300,3.330011,0,0.000000,0.000000,0.000000,0.044376,0.000000,0.044376,0.008875,None,3.323969,7.038940,9.070476,9.070476,0.011094,0.278264,0.344785,0.000000,0.022606,0.115827
300,3.330011,1,0.113056,0.379139,0.000000,0.044320,0.000000,0.044320,0.054086,Mixed,0.310431,0.310431,9.242970,9.242970,0.011080,0.278264,0.344785,0.000000,0.022606,0.115827
300,3.330011,2,1.000000,1.000000,0.000000,0.000916,0.000000,0.000916,0.400183,Wall,-0.206286,-0.206286,9.201659,9.201659,0.000229,0.278264,0.344785,0.000000,0.022606,0.115827
300,3.330011,3,0.000000,0.000000,0.000000,0.000813,0.000000,0.000813,0.000163,None,1.482891,1.482891,9.070476,9.070476,0.000203,0.278264,0.344785,0.000000,0.022606,0.115827
310,3.441011,0,0.000000,0.000000,0.000000,0.044381,0.000000,0.044381,0.008876,None,3.364600,7.146731,8.967625,8.967625,0.011095,0.325378,0.377764,0.000000,0.022308,0.134613
310,3.441011,1,0.301510,0.511057,0.000000,0.044319,0.000000,0.044319,0.129468,Wall,0.244472,0.244472,9.288583,9.288583,0.011080,0.325378,0.377764,0.000000,0.022308,0.134613
310,3.441011,2,1.000000,1.000000,0.000000,0.000283,0.000000,0.000283,0.400057,Wall,-0.206286,-0.206286,9.297762,9.297762,0.000071,0.325378,0.377764,0.000000,0.022308,0.134613
310,3.441011,3,0.000000,0.000000,0.000000,0.000251,0.000000,0.000251,0.000050,None,1.482891,1.482891,8.967625,8.967625,0.000063,0.325378,0.377764,0.000000,0.022308,0.134613
320,3.552012,0,0.000000,0.000000,0.000000,0.044384,0.000000,0.044384,0.008877,None,3.400630,7.254374,8.867708,8.867708,0.011096,0.370556,0.409390,0.000000,0.022217,0.152666
320,3.552012,1,0.482226,0.637558,0.000000,0.044317,0.000000,0.044317,0.201754,Wall,0.181221,0.181221,9.328039,9.328039,0.011079,0.370556,0.409390,0.000000,0.022217,0.152666
320,3.552012,2,1.000000,1.000000,0.000000,0.000088,0.000000,0.000088,0.400018,Wall,-0.206286,-0.206286,9.394442,9.394442,0.000022,0.370556,0.409390,0.000000,0.022217,0.152666
320,3.552012,3,0.000000,0.000000,0.000000,0.000077,0.000000,0.000077,0.000015,None,1.482891,1.482891,8.867708,8.867708,0.000019,0.370556,0.409390,0.000000,0.022217,0.152666
330,3.663013,0,0.000000,0.000000,0.000000,0.044384,0.000000,0.044384,0.008877,None,3.432763,7.361824,8.770467,8.770467,0.011096,0.413902,0.439732,0.000000,0.022189,0.169999
330,3.663013,1,0.655609,0.758926,0.000000,0.044321,0.000000,0.044321,0.271108,Wall,0.120537,0.120537,9.362254,9.362254,0.011080,0.413902,0.439732,0.000000,0.022189,0.169999
330,3.663013,2,1.000000,1.000000,0.000000,0.000027,0.000000,0.000027,0.400005,Wall,-0.206286,-0.206286,9.491656,9.491656,0.000007,0.413902,0.439732,0.000000,0.022189,0.169999
330,3.663013,3,0.000000,0.000000,0.000000,0.000024,0.000000,0.000024,0.000005,None,1.482891,1.482891,8.770467,8.770467,0.000006,0.413902,0.439732,0.000000,0.022189,0.169999
340,3.774013,0,0.000000,0.000000,0.000000,0.044387,0.000000,0.044387,0.008877,None,3.378730,7.469314,8.406948,8.406948,0.011097,0.455218,0.468653,0.000000,0.029440,0.187975
340,3.774013,1,0.820873,0.874611,0.000000,0.044321,0.000000,0.044321,0.337213,Wall,0.062695,0.062695,9.393750,9.393750,0.011080,0.455218,0.468653,0.000000,0.029440,0.187975
340,3.774013,2,1.000000,1.000000,0.000000,0.000008,0.000000,0.000008,0.400002,Wall,-0.206286,-0.206286,9.589044,9.589044,0.000002,0.455218,0.468653,0.000000,0.029440,0.187975
340,3.774013,3,0.000000,0.000000,0.000000,0.029043,0.000000,0.029043,0.005809,None,1.782262,1.782262,8.406948,8.406948,0.007261,0.455218,0.468653,0.000000,0.029440,0.187975
